Season,Team,G,Date,Home,Opp,W/L,Tm_Pts,Opp_Pts,Tm_FG,Tm_FGA,Tm_FG%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_ORB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF
2025,ATL,1,2024-10-23,1,BRK,W,120,116,39,80,.488,9,28,.321,33,46,.717,12,45,25,12,9,16,20,40,91,.440,17,43,.395,19,25,.760,12,43,21,8,6,19,32
2025,ATL,2,2024-10-25,1,CHO,W,125,120,39,81,.481,14,38,.368,33,38,.868,7,39,25,11,9,14,28,37,96,.385,21,51,.412,25,31,.806,22,53,22,7,4,18,28
2025,ATL,3,2024-10-27,0,OKC,L,104,128,36,91,.396,10,31,.323,22,29,.759,17,49,24,7,4,20,23,44,89,.494,16,40,.400,24,32,.750,11,45,26,13,12,10,23
2025,ATL,4,2024-10-28,1,WAS,L,119,121,39,81,.481,15,40,.375,26,36,.722,6,39,32,12,7,16,22,41,91,.451,21,44,.477,18,22,.818,9,43,24,7,3,18,25
2025,ATL,5,2024-10-30,0,WAS,L,120,133,45,95,.474,12,39,.308,18,21,.857,12,41,28,10,3,17,19,47,89,.528,16,38,.421,23,25,.920,6,37,32,10,5,16,21
2025,ATL,6,2024-11-01,1,SAC,L,115,123,41,92,.446,19,50,.380,14,18,.778,8,40,30,8,4,13,22,43,89,.483,11,33,.333,26,30,.867,10,51,28,9,4,14,21
2025,ATL,7,2024-11-03,0,NOP,W,126,111,50,88,.568,15,36,.417,11,12,.917,10,41,29,10,3,16,17,39,90,.433,16,38,.421,17,20,.850,18,43,22,6,3,18,16
2025,ATL,8,2024-11-04,1,BOS,L,93,123,37,89,.416,6,31,.194,13,16,.813,8,43,23,9,3,20,13,48,99,.485,18,55,.327,9,13,.692,11,50,27,15,7,13,14
2025,ATL,9,2024-11-06,1,NYK,W,121,116,45,100,.450,15,38,.395,16,22,.727,16,48,31,12,4,8,14,41,84,.488,22,47,.468,12,15,.800,7,41,29,5,5,16,18
2025,ATL,10,2024-11-08,0,DET,L,121,122,44,97,.454,15,36,.417,18,23,.783,15,44,30,12,7,18,21,44,86,.512,13,33,.394,21,31,.677,11,45,27,7,8,21,18
2025,ATL,11,2024-11-09,1,CHI,L,113,125,41,89,.461,9,29,.310,22,30,.733,10,39,31,8,5,14,19,46,92,.500,13,39,.333,20,23,.870,13,47,30,12,6,18,18
2025,ATL,12,2024-11-12,0,BOS,W,117,116,50,99,.505,10,32,.313,7,13,.538,19,44,35,16,2,16,17,38,75,.507,18,45,.400,22,27,.815,6,34,28,7,5,20,12
2025,ATL,13,2024-11-15,1,WAS,W,129,117,46,98,.469,12,37,.324,25,30,.833,15,55,28,10,10,16,17,43,106,.406,15,43,.349,16,21,.762,13,52,28,11,5,16,23
2025,ATL,14,2024-11-17,0,POR,L,110,114,39,85,.459,11,32,.344,21,25,.840,16,47,30,10,7,27,19,44,95,.463,14,38,.368,12,19,.632,18,40,31,16,10,20,21
2025,ATL,15,2024-11-18,0,SAC,W,109,108,39,83,.470,16,38,.421,15,18,.833,6,37,34,7,7,14,19,37,85,.435,20,46,.435,14,19,.737,9,45,24,9,4,17,20
2025,ATL,16,2024-11-20,0,GSW,L,97,120,35,105,.333,12,45,.267,15,24,.625,21,65,27,9,5,17,17,47,101,.465,14,40,.350,12,18,.667,9,54,36,10,7,15,17
2025,ATL,17,2024-11-22,0,CHI,L,122,136,49,107,.458,10,34,.294,14,19,.737,14,42,32,11,4,11,16,49,86,.570,19,43,.442,19,21,.905,5,41,36,8,10,19,17
